Date;Price
02/02/2022;5 347,55
03/02/2022;5 154,36
04/02/2022;5 169,72
07/02/2022;5 147,30
08/02/2022;5 185,46
09/02/2022;5 275,99
10/02/2022;5 186,01
11/02/2022;5 108,82
14/02/2022;5 116,30
15/02/2022;5 182,16
16/02/2022;5 189,61
17/02/2022;5 095,65
18/02/2022;5 055,46
22/02/2022;4 992,08
23/02/2022;4 923,50
24/02/2022;5 045,85
25/02/2022;5 094,64
28/02/2022;5 110,92
01/03/2022;5 098,36
02/03/2022;5 182,29
03/03/2022;5 139,55
04/03/2022;5 124,99
07/03/2022;4 995,16
08/03/2022;4 950,01
09/03/2022;5 015,51
10/03/2022;5 004,67
11/03/2022;4 950,76
14/03/2022;4 881,48
15/03/2022;4 950,59
16/03/2022;5 102,95
17/03/2022;5 138,80
18/03/2022;5 239,21
21/03/2022;5 225,68
22/03/2022;5 297,16
23/03/2022;5 262,81
24/03/2022;5 313,75
25/03/2022;5 320,55
28/03/2022;5 364,40
29/03/2022;5 392,68
30/03/2022;5 337,12
31/03/2022;5 279,87
01/04/2022;5 332,30
04/04/2022;5 421,49
05/04/2022;5 383,15
06/04/2022;5 302,97
07/04/2022;5 311,35
08/04/2022;5 304,46
11/04/2022;5 196,26
12/04/2022;5 186,01
13/04/2022;5 262,51
14/04/2022;5 233,70
18/04/2022;5 205,37
19/04/2022;5 264,74
20/04/2022;5 229,46
21/04/2022;5 170,56
22/04/2022;5 076,26
25/04/2022;5 112,27
26/04/2022;5 012,40
27/04/2022;5 077,38
28/04/2022;5 194,24
29/04/2022;5 068,40
02/05/2022;5 094,80
03/05/2022;5 091,66
04/05/2022;5 180,63
05/05/2022;5 025,06
06/05/2022;4 936,25
09/05/2022;4 787,57
10/05/2022;4 799,28
11/05/2022;4 733,97
12/05/2022;4 772,39
13/05/2022;4 910,66
16/05/2022;4 880,38
17/05/2022;4 920,15
18/05/2022;4 772,86
19/05/2022;4 711,95
20/05/2022;4 744,43
23/05/2022;4 764,78
24/05/2022;4 669,74
25/05/2022;4 720,64
26/05/2022;4 783,18
27/05/2022;4 907,41
31/05/2022;4 909,64
